date,year,tfp_util_adjusted
1948,1948,4.787035705830574
1949,1949,2.4174491601000643
1950,1950,2.867385349092788
1951,1951,0.336233312776843
1952,1952,0.8851162656810907
1953,1953,4.034391769945825
1954,1954,3.8549499693102645
1955,1955,0.727160139184374
1956,1956,0.8554318812626749
1957,1957,3.85650926653808
1958,1958,3.106278467253962
1959,1959,-0.09225305197035905
1960,1960,3.0525742008567
1961,1961,1.2548848535794632
1962,1962,1.4185904988563758
1963,1963,1.9652933521450033
1964,1964,1.927216319029612
1965,1965,1.4246742924380218
1966,1966,2.3943156553122846
1967,1967,3.508857489119105
1968,1968,2.4923883047660853
1969,1969,-1.1648682693879642
1970,1970,2.7064769020548383
1971,1971,3.063933525085832
1972,1972,1.4607577461355659
1973,1973,1.344072269293295
1974,1974,-1.0939412974763751
1975,1975,3.2049426912668766
1976,1976,0.1826400925158067
1977,1977,1.6622753165994708
1978,1978,0.6153574987444843
1979,1979,-0.17226068595797006
1980,1980,0.6386547776184859
1981,1981,0.261047913817658
1982,1982,0.1409531726239921
1983,1983,-1.5582545488545985
1984,1984,1.1963539977214332
1985,1985,1.8754676942517312
1986,1986,1.577297486521867
1987,1987,-0.0016350022103650552
1988,1988,2.3962449369262284
1989,1989,-0.14989114354139188
1990,1990,0.30815361873629543
1991,1991,0.7692016316902084
1992,1992,2.2148182658644378
1993,1993,-2.49016768732645
1994,1994,-0.8085975189534245
1995,1995,1.5922469895099267
1996,1996,1.7117268473111569
1997,1997,0.6929020908514438
1998,1998,2.7334675825770316
1999,1999,2.468215004379848
2000,2000,2.2254234989222077
2001,2001,2.3387899528015788
2002,2002,2.3963269453257774
2003,2003,1.506796700918689
2004,2004,1.6522890206985386
2005,2005,1.4123799999205544
2006,2006,-0.6253984731846463
2007,2007,-0.8857024516824241
2008,2008,-0.7416564391394709
2009,2009,3.5333290950064877
2010,2010,-0.3759784079791939
2011,2011,-0.8945742773576515
2012,2012,0.6949997445069966
2013,2013,-0.24801202772770647
2014,2014,0.7092872928205818
2015,2015,0.8256081826089168
2016,2016,-0.33162083588965663
2017,2017,0.779395227957913
2018,2018,0.4339369689114969
2019,2019,2.7158521121323
2020,2020,1.8726402639380746
2021,2021,1.0814081892961847
2022,2022,-0.14270750922495967
2023,2023,0.6380516740738473
2024,2024,1.6952888225064466
2025,2025,0.33360359562226716
